line,type,ὅτι scholion
urn:cts:greekLit:tlg0012.tlg001.msA:19.65,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:19.67,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:19.68,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:19.71,antisigma,+
urn:cts:greekLit:tlg0012.tlg001.msA:19.75,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:19.77,dotted diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:19.80,antisigma,+
urn:cts:greekLit:tlg0012.tlg001.msA:19.85,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:19.93,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:19.94,obelos,
urn:cts:greekLit:tlg0012.tlg001.msA:19.97,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:19.100,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:19.114,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:19.115,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:19.118,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:19.119,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:19.120,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:19.125,obelos,
urn:cts:greekLit:tlg0012.tlg001.msA:19.327,obelos,
urn:cts:greekLit:tlg0012.tlg001.msA:19.347,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:19.361,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:19.365,obelos,
urn:cts:greekLit:tlg0012.tlg001.msA:19.366,obelos,
urn:cts:greekLit:tlg0012.tlg001.msA:19.367,diple-obelos,
urn:cts:greekLit:tlg0012.tlg001.msA:19.368,obelos,
urn:cts:greekLit:tlg0012.tlg001.msA:19.380,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:19.384,dotted diple,
urn:cts:greekLit:tlg0012.tlg001.msA:19.387,obelos,
urn:cts:greekLit:tlg0012.tlg001.msA:19.388,obelos-dotted diple,
urn:cts:greekLit:tlg0012.tlg001.msA:19.389,obelos,
urn:cts:greekLit:tlg0012.tlg001.msA:19.390,obelos,
urn:cts:greekLit:tlg0012.tlg001.msA:19.391,obelos,
urn:cts:greekLit:tlg0012.tlg001.msA:19.392,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:19.400,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:19.407,obelos,
urn:cts:greekLit:tlg0012.tlg001.msA:19.416,obelos,
urn:cts:greekLit:tlg0012.tlg001.msA:19.417,obelos,
urn:cts:greekLit:tlg0012.tlg001.msA:19.418,diple,
