AnalysisRecord,PassageAnalyzed,QuotedString,Analysis,ReusedText
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAint.hmt:17.12,καταλίπω,urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAint.hmt:17.13,νεμεσήσηται,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.93
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAint.hmt:17.13,μέμψηται,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.93
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAint.hmt:17.14,εὐλαβοῦμαι,urn:cite:hmt:reusetype.quote3,
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAint.hmt:17.15,διενται,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.110
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAint.hmt:17.18,κύεν ἔτλης,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.153
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAint.hmt:17.20,τί,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.170
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAint.hmt:17.21,τότε δ' αὔτὸς,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.178
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAint.hmt:17.22,μάλα,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.190
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAint.hmt:17.22,τῆλε,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.190
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAint.hmt:17.23,Ἴλιον,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.193
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAint.hmt:17.31,ἔμπης,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.632
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAint.hmt:17.31,ὁμοίως,urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAint.hmt:17.32,ἠέρι γὰρ κεκάλυπται,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.644
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAint.hmt:17.34,κε κάμησι,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.658
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAint.hmt:17.40,κεχολωμένον,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.710
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAint.hmt:17.41,μένοντε,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.721
